"Datetime","Link","Price","Description","Brand","Condition","Title","Size","Amt Sold","Activity","Recent Review1","Time Listed","Sold and Reviews","Discount","In Bags","Like","Free Shipping","Color","Material","Style"
"2023-11-30T02:27:27.775723Z","https:\/\/www.depop.com\/products\/thrifthead-cute-vintage-plus-size-90s\/","$35.00","Cute vintage plus size 90s floral Tank teddy lingerie Bodysuit \ud83d\udc8b Super flattering and cute. Closet staple must have!

Great condition.
No tag or size.
Modeled on a M\/L - BEST FOR XXL+

\ud83d\udc8c Shipping is $4.40. DM 4 WRLDWDE Rates.
\ud83d\udcb8 Bundle and save!

5 Star \ud83c\udf1f Top Seller with over 4,000 reviews \ud83c\udf39 Message us with any other questions \ud83d\udc7c\ud83c\udffc Thank U for shopping with small businesses! \u2764\ufe0f

#teddy #90s #indie #lingerie #bodysuit

show more","NULL","Used - Excellent","Women's Black and Pink Bodysuit","Size XXL","14231 sold","Active today","All was perfect, thank youuu!!!!","LISTED 4 DAYS AGO","4290 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 2 people's bags","65","NULL","Black","Plus size","Lace"
"2023-12-04T03:07:06.005078Z","https:\/\/www.depop.com\/products\/ageorama-revice-denim-camo-low-rise\/","$100.00","Revice Denim camo low rise pants

Super soft, button and draw string closure , long wide leg, soooo flattering honestly

Model is 5\u20198
26\u201d Waist
36\u201d Hip

US Shipping Only

show more","Revice","Like new","Revice Women's Trousers","Size S","1225 sold","Active today","great!","LISTED 14 HOURS AGO","497 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","NULL","Boho,","Y2K"
"2023-12-01T17:38:07.34972Z","https:\/\/www.depop.com\/products\/estelleshing-fairy-core-cream-faux-fur\/","$85.00","Fairy core cream faux fur vest with brown ruffle and cream lace layers. Has amazing crochet details all around the collar as well \u263a\ufe0f soft pink lining on the inside

Has brown ribbon to fasten in front. This is the most ethereal vest I\u2019ve ever laid my eyes on. Sad to sell but I just don\u2019t wear it as much. Price is firm!!!

Note: idk why the fur on the vest keeps showing pink in images. Irl it\u2019s more cream. Refer to last image for color accuracy

Size S - fits XS to M depending on desired fit!

Tags
Fairy core cottage core fairy grunge coquette dollette forest nymph gyaru Liz Lisa hysteric glamour j fashion whimsygoth

show more","NULL","Brand new","Women's Cream and Brown Gilet","Size S","288 sold","Active today","love \ud83e\udd79 the cutest packaging","LISTED 3 DAYS AGO","131 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Cream","Cottage,","Fairy,"
"2023-12-03T04:30:57.558006Z","https:\/\/www.depop.com\/products\/glittergirl98-vintage-balletcore-off-shoulder-sweater-210f\/","$28.00","VINTAGE BALLETCORE OFF SHOULDER SWEATER

vintage purple boatneck off shoulder sweater with a super flattering tight fit from the early 00s by hooked up. so perfect for fall and winter, adorable button detail on neckline

size medium modeled on XS

message for questions

#offshoulder #sweater #balletcore #twilightcore #depopamplified

show more","Hooked Up by IOT","Used - Excellent","Hooked Up by IOT Women's Purple Jumper","Size M","680 sold","Active today",":D","LISTED 1 DAY AGO","203 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Purple","Cotton","Coquette,"
"2023-11-30T15:07:35.170898Z","https:\/\/www.depop.com\/products\/doublebdoublep-hello-kitty-cozy-fluffy-home\/","$24.00","Hello Kitty Cozy Fluffy Home Slippers - available in multiple styles

Please note that these slippers are not waterproof, so it's important to avoid getting the sole wet. And one-size-fits-all, approximately suitable for shoe sizes 5 to 8.

shipment takes about 2 weeks
* NO RERUEN\/REDUND
#depop #hellokitty #hellokittyplushslippers #plushslippers

show more","NULL","Brand new","Women's White Slippers","One size","166 sold","Active today","quick shipping! seller was very kind.","LISTED 4 DAYS AGO","28 Shop Reviews. Rated 4.6 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","White","Y2K","NULL"
"2023-12-02T16:55:44.143322Z","https:\/\/www.depop.com\/products\/chblakemore-ah-the-most-beautiful-vintage\/","$38.00","AH the most beautiful vintage lace slip dress, has roses all over and a drop waist. by circa 2000. tagging victoria\u2019s secret for exposure. sixe small but i\u2019d say xs-m","Victoria's Secret","Brand new","Victoria's Secret Women's Cream and Pink Dress","Size S","43 sold","Active today","Came perfect","LISTED 2 DAYS AGO","15 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 7 people's bags","99+","NULL","Cream","Lace,","Silk"
"2023-12-04T06:33:07.491492Z","https:\/\/www.depop.com\/products\/camryn22-white-sweat-set-t-shirt\/","$60.00","Sale until the last 3 are sold\u203c\ufe0f\u203c\ufe0f
All orders will be size medium shirt and sweats for inventory purposes
Can request bows in both hips instead of one:)
White sweat set, t shirt & sweatpants
Handmade by me\ud83d\udc95
Brand new:)

Made per order-
If you want to request different sizing message me!

Tags for exposure: brandy Melville coquette trendy sets urban outfitters winter clothes
Sweatpants baby tee white set bows crop top women\u2019s trending #pinkribbon #lace #coquette #cottagecore
#babytee

show more","NULL","Used - Excellent","Women's White and Cream Joggers-tracksuits","Size M","168 sold","Active today","cute top!!! it is so cute and it arrived in 9 days\ud83d\ude0b","LISTED 11 HOURS AGO","78 Shop Reviews. Rated 4.9 out of 5 stars.","20% OFF","In 10+ people's bags","99+","NULL","White","Streetwear","NULL"
"2023-12-01T03:11:27.646748Z","https:\/\/www.depop.com\/products\/pandafashion-handmade-crochet-balaclava-womens-autumn\/","$27.00","Handmade crochet balaclava women's autumn and winter Korean style warm knitted woolen hat niche neck protection hat

\ud83d\udc96Worldwide free shipping
\ud83d\udc96DM to save your bundles
\ud83d\udc96delivery time\uff1a6-14days
\ud83d\udc96handmade vintage and factory items
\ud83d\udc96normally not accept return or refunds

show more","NULL","Other","Women's Multi Hat","Brand new","1779 sold","Active today","Shipping was slower than anticipated and tracking was weird. Did not come from Bensenville as seller\u2019s profile indicates. However, sweater is of good quality and as described.","LISTED 3 DAYS AGO","318 Shop Reviews. Rated 4.65 out of 5 stars.","NULL","In 10+ people's bags","99+","Free domestic shipping","Multi","Streetwear,","Retro,"
"2023-12-04T15:45:34.105785Z","https:\/\/www.depop.com\/products\/forever-21-halter-prom-style\/","$27.00","Vintage Forever 21 Black Halter Style Formal Dress.
Size Small. New condition, never worn.
Measures approx 14.5\u201d from armpit to armpit when laid flat. The length measures out to about 30\u201d.

Material: 49% Polyester, 48% Cotton, 3% Spandex. Lining: 100% Polyester. Dry Clean Only.

Has a zipper and hook closure at the back. This dress has lining underneath.

Comes as pictured. See photos before purchasing. You can remove those clear rubber\/plastic straps with the Forever 21 logo on the inside for comfort before wearing.

Gothic Style Punk dress.
#depop #vintage #dress #goth #party

show more","Forever 21","Like new","Forever 21 Women's Black Dress","Size S","85 sold","Active today","Shipped fast and protected!!!!","LISTED 2 HOURS AGO","77 Shop Reviews. Rated 5 out of 5 stars.","15% OFF","In 2 people's bags","99+","NULL","Black","Cute,","Goth,"
"2023-11-28T08:17:04.157236Z","https:\/\/www.depop.com\/products\/dushavalov-bape-baby-milo-beanie-brand-4322\/","$55.00","Bape Baby Milo Beanie

Brand new never worn
Unisex","BAPE","NULL","BAPE Women's Hat","Brand new","Active today","NULL","Shipped fast and protected!!!!","LISTED 6 DAYS AGO","NULL","NULL","In 10+ people's bags","99+","NULL","NULL","NULL","NULL"
"2023-12-04T04:43:58.028937Z","https:\/\/www.depop.com\/products\/4leafclovers-red-gingham-lace-dress\/","$40.00","red gingham lace dress ! \ud83d\udc8b
in perfect condition
size small & the ties r adjustable



feel free to ask me any questions <3



#priscillapresley #lanadelrey #coquette
mini dress cute

show more","NULL","Brand new","Women's Red and White Dress","Size S","380 sold","Active today","\u2764\ufe0f\u2764\ufe0f","LISTED 13 HOURS AGO","121 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","In 4 people's bags","99+","NULL","Red","Antique,","Vintage"
"2023-11-28T20:12:56.785692Z","https:\/\/www.depop.com\/products\/annieayars-dainty-betsey-johnson-dress-free\/","$60.00","Dainty BETSEY JOHNSON dress. FREE SHIPPING\/already calculated into the cost ;) <3

\ud83c\udf37Intricate pink Lacey detail under bust.
\ud83c\udf37Adjustable straps.
\ud83c\udf37Tie in the back to cinch the waist.
\ud83c\udf37Size 6. small-medium.
\ud83c\udf37Unique turquoise-ish color?

Final sale, please make sure you will love this item 100% before buying! :) sorry it is expensive, just trying to pay my bills. \ud83d\udc85

show more","Betsey Johnson","Used - Excellent","Betsey Johnson Women's Green and Pink Dress","Multiple sizes","Active today","NULL","NULL","LISTED 5 DAYS AGO","1 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 4 people's bags","99+","Free domestic shipping","Green","Cottage,","Whimsygoth,"
"2023-12-01T19:25:10.244215Z","https:\/\/www.depop.com\/products\/sosquish-gorpcore-hiking-sneakers-y2k\/","$88.00","gorpcore hiking sneakers \ud83c\udf48

y2k Merrell elastic pull string lace up cream and blue hiking sneakers in great condition\u2019 a few spots that can be washed out - perfect sporty preppy sneaker giving keen sneakers ! :)

womens size 7.5 fits true to size super comfy!

show more","Merrell","Used - Excellent","Merrell Women's Cream and Blue Trainers","Size US 7.5","499 sold","Active today","Shipped fast and item looks just like the photos. Thanks!","LISTED 2 DAYS AGO","184 Shop Reviews. Rated 4.95 out of 5 stars.","20% OFF","In 4 people's bags","99+","NULL","Cream","Elastane \/ Lycra \/ Spandex","Sportswear,"
